Chromosome	startPosition	endPosition	typeNotZero	nrOfStateA	nrOfStateB	nrOfStateC	stateAToA	stateBToB	stateCToC	stateAToB	stateAToC	stateBToA	stateBToC	stateCToA	stateCToB	nrOfPolyType1	nrOfPolyType2	nrOfPolyType3	nrOfPolyType1And2	nrOfPolyType1And3	nrOfPolyType2And3	
1	1033	60931	235	9	17	31	2	9	24	4	3	4	3	3	4	217	7	23	4	4	0	
1	60966	124674	210	16	15	13	6	10	6	5	4	3	2	7	0	168	13	112	2	2	1	
1	124771	186589	199	8	26	22	2	16	13	4	2	3	7	3	5	119	13	201	2	2	1	
1	186707	252330	237	14	18	10	7	12	3	3	4	3	3	4	2	290	33	81	5	5	4	
1	252351	307663	284	9	17	3	5	12	1	3	1	4	1	0	1	304	41	201	6	6	4	
1	307664	363775	250	27	19	14	18	10	7	5	3	6	3	3	4	197	70	18	1	1	0	
1	363780	478564	299	4	9	19	0	4	13	1	3	2	3	1	4	387	19	50	5	5	1	
1	478672	538590	275	8	13	7	7	10	4	1	0	1	2	0	2	313	3	76	0	0	0	
1	538732	638659	272	7	12	4	3	9	2	2	1	2	1	1	1	302	6	26	1	1	2	
1	638765	742430	302	5	25	9	2	20	4	2	1	1	3	2	3	336	23	26	3	3	1	
1	742755	826416	265	20	27	14	13	18	7	4	3	4	4	3	4	223	16	22	0	0	0	
1	826768	916806	213	15	7	16	12	4	12	1	1	1	2	2	2	263	5	15	2	2	0	
1	916883	1022883	241	14	12	5	9	9	1	2	3	1	1	3	1	246	5	143	1	1	0	
1	1022910	1114903	212	12	22	8	5	14	3	4	2	5	3	2	3	187	19	32	1	1	0	
1	1115046	1222614	278	6	10	2	2	6	0	2	2	3	0	1	1	349	15	23	5	5	1	
1	1222678	1345777	266	42	30	4	34	23	1	6	2	6	0	2	1	199	21	74	6	6	3	
1	1345838	1460153	215	5	36	3	1	28	0	4	0	4	3	0	3	117	15	59	0	0	3	
1	1460378	1597012	195	6	25	21	0	17	13	3	2	3	5	3	5	177	45	51	9	9	4	
1	1597059	1670158	238	3	12	24	1	7	21	2	0	1	3	0	3	288	9	15	0	0	0	
1	1670320	1786315	237	7	24	11	0	16	5	5	2	4	4	2	3	235	7	26	0	0	0	
1	1786443	1884310	244	2	38	4	1	35	2	1	0	1	1	0	2	278	6	6	1	1	1	
1	1884378	1971694	238	2	93	18	0	87	14	2	0	1	4	1	3	192	9	16	2	2	0	
1	1971714	2092007	226	2	22	3	0	19	2	1	1	2	0	0	1	267	15	25	5	5	4	
1	2092014	2239561	182	3	26	0	1	24	0	1	0	2	0	0	0	193	15	32	1	1	3	
1	2239575	2363586	182	1	21	4	0	16	0	1	0	0	4	1	3	167	14	87	1	1	0	
1	2363602	2454473	191	17	28	4	13	22	1	3	1	4	2	0	2	162	15	122	8	8	5	
1	2454500	2549690	192	2	2	14	0	0	10	1	1	0	2	2	1	227	36	105	8	8	4	
1	2549701	2680743	204	3	20	6	1	14	1	2	0	1	4	1	4	185	22	170	11	11	5	
1	2680756	2763755	166	11	18	4	8	13	1	2	1	2	2	1	2	120	18	81	5	5	7	
1	2763764	2843443	229	17	39	17	8	29	10	5	4	7	2	2	5	92	16	84	5	5	3	
1	2843446	2943501	147	16	24	21	11	14	15	5	0	4	6	0	5	116	8	50	1	1	1	
1	2943560	3046204	263	0	39	12	0	37	9	0	0	0	2	0	2	268	33	54	3	3	3	
1	3046264	3183157	266	1	42	2	0	38	0	1	0	1	2	0	2	261	14	122	1	1	2	
1	3183305	3292504	247	1	28	15	0	23	10	0	1	0	4	1	4	265	28	124	9	9	3	
1	3292526	3379611	245	1	4	1	0	3	0	1	0	0	0	1	0	299	6	150	1	1	1	
1	3379648	3464290	283	0	5	1	0	3	0	0	0	0	1	0	1	374	8	236	1	1	0	
1	3464355	3547647	272	0	9	10	0	8	9	0	0	0	0	0	1	336	28	151	7	7	2	
1	3547740	3673537	292	2	46	4	1	41	0	0	1	1	3	0	4	290	16	61	8	8	5	
1	3673647	3782728	353	1	34	1	0	32	0	0	0	1	1	0	1	404	23	243	8	8	6	
1	3782767	3865364	275	0	4	0	0	3	0	0	0	0	0	0	0	341	60	209	8	8	4	
1	3865380	3976403	297	6	15	4	3	12	2	1	1	2	1	1	1	378	24	177	7	7	11	
1	3976426	4062733	228	18	7	16	10	2	8	2	6	3	2	5	2	243	45	58	15	15	6	
1	4062741	4163027	185	10	58	21	3	48	15	5	2	5	4	1	5	146	70	60	13	13	4	
1	4163054	4276772	242	7	74	2	3	68	1	4	0	4	1	0	1	161	60	236	11	11	19	
1	4276798	4459263	215	10	45	1	5	39	0	4	1	5	0	0	1	188	80	158	20	20	15	
1	4459281	4588991	216	2	67	4	0	62	2	2	0	2	2	0	2	133	246	226	41	41	32	
1	4588997	4730211	238	5	66	0	1	61	0	4	0	4	0	0	0	117	62	157	8	8	11	
1	4730278	4893877	311	1	78	3	0	75	2	1	0	1	1	0	1	256	25	66	1	1	2	
1	4894057	4989668	171	11	41	11	4	30	3	5	2	4	6	3	5	74	171	106	3	3	4	
1	4989856	5063734	203	14	13	4	9	8	1	3	2	3	1	1	2	182	210	115	36	36	20	
1	5063767	5151691	214	6	0	5	3	0	2	0	2	0	0	3	0	314	139	46	32	32	5	
1	5151726	5257249	199	1	17	10	0	15	8	1	0	0	1	1	1	235	123	151	19	19	4	
1	5257313	5349717	182	3	7	5	2	5	3	1	0	1	1	0	1	189	138	163	13	13	14	
1	5349798	5421337	284	5	18	16	0	14	10	1	4	2	1	3	3	323	69	35	7	7	2	
1	5421389	5487696	278	6	24	10	2	20	8	3	1	3	0	1	1	323	72	47	7	7	0	
1	5487815	5560684	216	13	12	12	7	6	9	5	1	3	2	3	0	249	113	140	31	31	26	
1	5560708	5637663	201	4	15	8	1	10	2	0	2	1	4	1	5	273	212	195	66	66	37	
1	5637685	5698299	222	30	7	8	25	2	7	4	1	4	0	0	1	168	48	60	4	4	2	
1	5698318	5762407	144	15	22	18	7	12	8	3	4	4	6	4	6	39	153	27	7	7	4	
1	5762415	5825553	193	53	29	14	40	18	6	6	7	9	1	4	4	25	33	53	2	2	0	
1	5825633	5890776	189	25	57	6	14	45	2	8	2	10	2	1	3	83	20	82	1	1	1	
1	5890849	5964397	225	5	14	1	3	11	0	2	0	1	1	1	0	226	25	201	1	1	1	
1	5964507	6030467	292	21	21	8	12	10	2	6	2	7	4	2	4	287	24	29	5	5	0	
1	6030537	6097410	244	20	21	17	10	10	11	8	2	7	3	3	3	224	47	27	1	1	1	
1	6097428	6160948	304	7	17	8	3	9	4	3	0	4	4	0	4	301	42	91	1	1	1	
